id,iddrink,idingredient,strmeasure
1079,13060,251,1/2 oz
1080,13060,66,1 oz
1081,13060,61,1
1082,17211,295,5 cl
1083,17211,189,10 cl
1084,11025,97,1 1/2 oz
1085,11025,248,1 1/2 oz
1086,17824,156,50 ml
1087,17824,201,15 ml
1088,17824,21,15 ml
1089,17824,211,75 ml
1090,17824,222,2 Wedges
1091,17824,276,1 Slice
1092,17824,210,1 Large Sprig
1093,17178,274,2/3 oz
1094,17178,216,1/3 oz
1095,17178,245,1 tsp
1096,17178,264,2 pinches
1097,11224,156,2 oz
1098,11224,208,1/2 oz
1099,11224,175,1 tsp
1100,11224,135,1 dash
1101,11224,38,1
1102,12862,220,3/4 cup
1103,12862,276,2 tsp
1104,12862,25,2 cups
1105,12862,208,1 1/2 tblsp
1106,12862,47,1 1/2 cup
1107,12862,264,1 cup
1108,12862,11,3-4 cups
1109,17174,156,1 oz
1110,17174,288,1 oz
1111,17174,350,1 oz
1112,17174,162,1 oz
1113,17174,149,1 oz
1114,17174,71,1 oz
1115,17174,207,1 oz
1116,17174,43,3 oz
1117,12744,264,5 tblsp
1118,12744,118,3 tblsp
1119,12744,61,1 dash
1120,12744,220,3 tblsp hot
1121,12744,310,2 cups
1122,12744,279,1/4 tsp
1123,15515,19,8 oz
1124,15515,246,4 oz
1125,15515,97,4 oz
1126,15515,186,1
1127,11106,283,1 oz
1128,11106,26,1 1/2 oz
1129,11106,182,1 twist of
1130,16951,72,1 oz
1131,16951,8,1/2 oz
1132,16951,19,1
1133,17185,156,2 oz
1134,17185,175,1/4 tsp
1135,17185,208,1/4 tsp
1136,17185,135,2 dashes
1137,17185,146,1
1138,11001,132,1 oz
1139,11001,1,1 oz
1140,11001,7,1 oz
1141,11001,208,1/2 oz
1142,11001,173,3 oz
1143,11001,182,1 twist of
1144,17248,156,1 oz
1145,17248,49,1 oz
1146,17248,283,1 oz
1147,17248,250,1
1148,11470,132,1 oz
1149,11470,11,1 oz
1150,11470,208,1 tsp
1151,12772,72,2 tsp
1152,12772,19,Strong cold
1153,15951,278,cubes
1154,15951,35,1
1155,15951,302,1
1156,15951,350,1
1157,15951,310,1
1158,13020,100,1 bottle
1159,13020,264,1/2 cup
1160,13020,7,1 cup
1161,13020,208,1 cup
1162,13020,91,1
1163,13020,6,1
1164,17191,28,1 part
1165,17191,354,1/2 part
1166,17191,7,2 parts
1167,17191,11,1 part
1168,12764,19,1 part
1169,12764,172,2 parts
1170,11016,8,1 oz
1171,11016,119,1 oz white
1172,11016,248,1 oz
1173,11016,308,1
1174,13625,350,1 oz
1175,13625,263,1 1/2 oz
1176,13625,72,1/2 oz
1177,11006,28,2 oz
1178,11006,208,1 oz
1179,11006,235,1 tsp
1180,16984,345,1 oz
1181,16984,350,1 oz
1182,16984,288,1 oz
1183,16984,156,1 oz
1184,16984,251,1 oz
1185,16984,216,1 oz
1186,16984,311,1 oz
1187,16984,150,1 oz
1188,15691,80,1
1189,15691,269,1
1190,15691,188,1
1191,15691,39,slice
1192,15691,293,1
1193,15691,292,1
1194,15691,317,1
1195,12198,8,1 oz
1196,12198,251,1/2 oz
1197,12198,317,Juice of 1/4
1198,16995,7,4 oz
1199,16995,345,1 oz
1200,16995,350,1 oz
1201,16995,178,1 package
1202,16995,278,Over
1203,14888,159,4 shots
1204,14888,215,4 shots
1205,11113,350,1 1/2 oz
1206,11113,0,3 oz
1207,11113,208,1 dash
1208,11113,163,1/2 tsp
1209,11113,5,2-3 drops
1210,11113,222,1 wedge
1211,12780,19,1
1212,12780,6,1
1213,11382,198,2 oz
1214,11382,184,1/2 oz
1215,11382,317,Juice of 1/4
1216,11382,222,Juice of 1/2
1217,11382,317,1 slice
1218,11382,222,1 slice
1219,11462,350,1 oz
1220,11462,101,1/2 oz
1221,11462,7,4 oz
1222,12436,132,3 oz
1223,12436,352,1 oz
1224,12436,208,1 oz
1225,11164,8,2 oz
1226,11164,108,1 whole
1227,11164,264,1 tsp superfine
1228,11164,248,1/2 oz
1229,11164,308,1/8 tsp grated
1230,11668,350,1/2 oz
1231,11668,132,1/2 oz
1232,11668,156,1/2 oz
1233,11668,288,1/2 oz
1234,11668,317,Juice of 1/2
1235,11668,39,1 splash
1236,17226,156,1 shot
1237,17226,304,1 shot
1238,17226,292,1 shot
1239,17226,325,1/8 shot
1240,14272,350,1 shot
1241,14272,235,1 tblsp
1242,14272,7,Fill with
1243,15761,148,25 ml
1244,15761,7,Add 250 ml
1245,11014,156,1/2 oz
1246,11014,119,1/2 oz white
1247,11014,248,2 oz
1248,11014,308,1
1249,17207,132,3 oz
1250,17207,73,3 tblsp
1251,17207,47,3 tblsp
1252,16942,216,1 shot
1253,16942,350,1 shot
1254,16942,313,Fill with
1255,11420,156,2 oz
1256,11420,220,2 tsp
1257,11420,131,1/2 tsp
1258,11420,182,1 twist of
1259,13683,293,1 part
1260,13683,273,1 part
1261,12754,350,1 oz
1262,12754,111,3/4 oz
1263,12754,3,1
1264,12754,303,1
1265,11119,1,1 1/2 oz
1266,11119,136,1/2 oz
1267,11119,350,1/2 oz
1268,11119,7,1 oz
1269,11119,208,1 tsp
1270,11251,8,2 oz
1271,11251,251,1/2 oz
1272,11251,208,1 tblsp
1273,12446,28,2 oz
1274,12446,302,1/2 oz
1275,11720,156,1 oz
1276,11720,24,1 oz
1277,11720,251,1/4 tsp
1278,11720,135,1 dash
1279,11720,146,1
1280,14560,75,1/2 oz
1281,14560,203,3/4 oz
1282,14560,350,1/2 oz
1283,14560,351,Fill with
1284,12760,2,1 part
1285,12760,263,1 part
1286,12760,156,2 parts
1287,12760,158,1/2 part
1288,12442,24,1 1/2 oz
1289,12442,292,3/4 oz
1290,12442,312,1
1291,12688,310,2 cups
1292,12688,35,1
1293,12688,92,1
1294,13775,112,1 oz
1295,13775,282,1 oz
1296,13395,311,1/2 oz
1297,13395,42,1/2 oz
1298,13395,254,1/2 oz
1299,11965,262,1 1/2 oz
1300,11965,248,2 tsp
1301,11965,131,1 tsp
1302,11965,108,1 whole
1303,11965,308,1
1304,14730,350,01-Apr
1305,14730,271,01-Apr
1306,14730,7,01-Apr
1307,14730,111,01-Apr
1308,13377,350,1 1/2 oz
1309,13377,3,4 oz
1310,13377,303,1 oz
1311,11566,156,1 1/2 oz
1312,11566,307,1/2 oz
1313,11566,165,1/2 oz
1314,14956,350,2 cups
1315,14956,332,3 packages
1316,14956,220,3 cups
1317,12722,202,1 1/2 cup
1318,12722,225,4 tsp
1319,12722,220,1/2 cup
1320,16031,80,12 oz
1321,16031,293,12 oz
1322,12308,329,1 oz
1323,12308,7,1 oz
1324,12308,207,1 oz
1325,17219,185,3 cl
1326,17219,101,1.5 cl
1327,17219,149,1.5 cl
1328,17219,204,1.5 cl
1329,14133,218,1/2 oz
1330,14133,350,1 oz
1331,14133,222,Juice of 1/2
1332,14133,3,1 splash
1333,14446,177,1/2 oz Grape
1334,14446,350,1/2 oz
1335,14029,119,1 oz white
1336,14029,350,1 oz
1337,13058,100,1 bottle
1338,13058,317,2
1339,13058,7,1 cup
1340,13058,300,3
1341,13058,11,1 cup
1342,14456,109,4 cl
1343,14456,122,Turkish apple
1344,14456,264,(if needed)
1345,17255,156,2 1/2 oz
1346,17255,204,1/2 oz
1347,17255,272,1/2 oz
1348,17255,222,1
1349,16943,350,1 oz
1350,16943,111,1 oz
1351,16943,7,3 oz
1352,16943,3,3 oz
1353,12758,294,5 parts
1354,12758,208,3 parts
1355,12758,101,1 part
1356,12758,339,1 part
1357,17209,345,4.5 cl
1358,17209,101,1.5 cl
1359,17209,237,6 cl
1360,17209,204,1 dash
1361,17209,333,top up
1362,12370,288,2 oz
1363,12370,317,Juice of 1/2
1364,12370,131,1 tsp
1365,12370,317,1/2 slice
1366,12370,146,1
1367,11002,324,1 1/2 oz
1368,11002,303,1 oz
1369,12954,287,1
1370,12954,140,", orange"
1371,12954,103,1
1372,12954,103,1
1373,12800,220,2 cups
1374,12800,264,2 cups white
1375,12800,19,1/2 cup instant
1376,12800,16,01-Feb
1377,12800,350,1 1/2 cup
1378,12800,353,1
1379,17141,100,1/3 part
1380,17141,111,1 shot
1381,17141,240,1/3 part
1382,17141,7,1/3 part
1383,17254,60,1 dash
1384,17254,307,1 oz
1385,17254,156,1 oz
1386,17254,283,1 oz
1387,17268,345,4 parts
1388,17268,295,2 parts
1389,17268,41,1 part
1390,17268,227,1 part
1391,17268,234,6 parts
1392,17268,278,cubes
1393,12388,127,1 1/2 oz
1394,12388,289,1 oz Green Ginger
1395,12388,7,1 oz
1396,17005,97,1 jigger
1397,17005,317,Juice of 1/2
1398,17005,278,1
1399,17005,174,1
1400,17213,350,4.5 cl
1401,17213,94,1.5 cl
1402,17213,247,1.5 cl
1403,11019,183,1 1/2 oz
1404,11019,251,1 dash
1405,11019,11,1 tblsp
1406,11528,242,1 oz
1407,11528,176,1/2 oz
1408,11528,7,1 oz
1409,11528,207,1 oz
1410,11528,300,1 slice
1411,11528,146,1
1412,16262,107,4 cl
1413,16262,263,8 cl
1414,16262,19,1
1415,11728,156,1 2/3 oz
1416,11728,24,1/3 oz
1417,11728,306,1
1418,11416,156,2 oz
1419,11416,312,1 oz
1420,11416,264,1 cube
1421,11416,210,4
1422,11416,300,1 slice
1423,11416,146,1
1424,17183,132,1 3/4 oz Bacardi
1425,17183,66,1 oz
1426,17183,245,1/2 tsp
1427,17183,235,1 dash
1428,11149,156,1 1/2 oz
1429,11149,251,1 oz
1430,11149,208,1 tsp
1431,11149,235,1/2 tsp
1432,11149,213,1
1433,15813,93,5 shots
1434,15813,122,very sweet
1435,13282,45,1 part Bass pale
1436,13282,33,1 part
1437,15178,284,1 part
1438,15178,302,1/2 part
1439,15178,203,1 part
1440,15178,207,1 splash
1441,12162,350,2 oz
1442,12162,7,1
1443,12774,220,2 cups
1444,12774,122,3-4 tsp
1445,12774,276,1 chunk dried
1446,12774,84,3-4 crushed
1447,12774,91,3
1448,12774,6,1 piece
1449,12774,123,1-2 whole
1450,12774,264,to taste
1451,12774,310,1
1452,11403,156,2 oz
1453,11403,120,5 oz
1454,11403,222,1
1455,16295,28,1 shot
1456,16295,300,1 slice
1457,16295,215,1/2 glass
1458,16295,3,1/2 glass
1459,15194,221,2 scoops
1460,15194,8,2 oz
1461,15194,97,2 oz
1462,12668,35,2 tblsp
1463,12668,310,6 oz whole
1464,12668,313,6 oz
1465,17176,222,½
1466,17176,113,2 tsp
1467,17176,277,4 cl
1468,17176,173,top up with
1469,17176,278,fill
1470,11324,127,2 1/2 oz
1471,11324,24,1 1/2 tsp
1472,11324,182,1 twist of
1473,14229,72,1/3 part
1474,14229,263,1/3 part
1475,14229,342,1/3 part
1476,15841,210,1/2 handful
1477,15841,208,3 cl
1478,15841,28,1/8 L Jamaican
1479,15841,43,1/8 L
1480,15841,117,8 drops
1481,11396,156,1 1/2 oz
1482,11396,8,1 oz
1483,11396,283,1 oz
1484,11396,43,1 oz
1485,13070,65,1/2 oz
1486,13070,102,1/2 oz
1487,13070,5,1 dash
1488,15933,265,1 1/2 oz
1489,15933,269,Add 10 oz
1490,15933,278,cubes
1491,12716,99,1
1492,12716,300,2
1493,12696,224,1 cup
1494,12696,220,2 cups cold
1495,12696,264,4 tblsp
1496,12696,61,pinch
1497,12696,208,2 tblsp
1498,12672,224,1 cup
1499,12672,321,1 cup
1500,15853,263,01-Mar
1501,15853,158,01-Mar
1502,15853,72,01-Apr
1503,17233,156,50 ml
1504,17233,275,30 ml
1505,17233,97,15 ml
1506,17233,233,Garnish
1507,17233,31,Grated
1508,16158,278,1 cup
1509,16158,288,2 oz
1510,16158,255,1/4 cup
1511,16158,66,3 tblsp fresh
1512,12190,268,1 1/2 oz cream
1513,12190,248,2 tsp
1514,12190,131,1 tsp
1515,12190,108,1 whole
1516,12190,308,1
1517,11658,127,2 oz
1518,11658,305,1/2 oz
1519,11658,24,1/2 oz
1520,11658,182,1 twist of
1521,12746,118,2 tsp
1522,12746,264,1 tsp
1523,12746,279,1/2 tsp
1524,12746,310,12 oz
1525,12692,224,1 cup
1526,12692,220,2 cups cold
1527,12692,61,1 tsp
1528,12692,51,1 pinch
1529,17210,156,4 cl
1530,17210,349,1.5 cl
1531,17210,245,1 cl
1532,17210,153,1.5 cl
1533,14598,37,2 1/2 oz
1534,14598,158,1 splash
1535,14598,7,Fill with
1536,16275,278,04-May
1537,16275,82,2 oz
1538,16275,279,1 tsp
1539,16275,39,10-12 oz
1540,11959,156,1 1/2 oz
1541,11959,119,3/4 oz white
1542,13751,28,1-2 shot
1543,13751,222,Squeeze
1544,13751,39,Fill with
1545,13751,278,1
1546,12726,0,2 cups
1547,12726,208,1-2 tblsp
1548,12726,244,1 dash
1549,11424,350,1 1/2 oz
1550,11424,97,3/4 oz
1551,12057,156,2 oz
1552,12057,317,Juice of 1/2
1553,12057,131,1 tsp
1554,12057,108,1 whole
1555,12057,312,1
1556,15521,19,1 cup
1557,15521,219,4 cl
1558,15521,264,By taste
1559,11000,132,2 oz
1560,11000,206,4 oz
1561,11000,182,1 twist of
1562,12786,122,1/4 cup Thai
1563,12786,220,1/2 cup boiling
1564,12786,270,2 tsp sweetened
1565,12786,278,cubes
1566,12786,210,1
1567,13162,72,1 cl
1568,13162,263,1 cl
1569,13162,342,1 1/2
1570,13162,19,4 cl hot
1571,13162,178,1
1572,17247,307,1 oz
1573,17247,241,1 oz
1574,17247,204,1 oz
1575,13190,350,1 shot
1576,13190,97,1 shot
1577,13190,26,1 shot
1578,13190,251,1 shot
1579,13190,3,1
1580,14071,350,2 cl
1581,14071,27,1 cl
1582,14071,227,1 cl
1583,14071,133,Fill with
1584,17246,199,2 oz
1585,17246,275,3/4 oz
1586,17246,145,1/2 oz
1587,14564,3,2 oz
1588,14564,313,2 oz
1589,14564,311,0.5 oz
1590,14564,53,0.5 oz
1591,17187,78,6 cl
1592,17187,212,2 dashes
1593,17187,210,2 Fresh leaves
1594,17193,8,1 1/2 oz
1595,17193,75,1/2 oz
1596,12752,101,1/2 oz
1597,12752,348,1/2 oz
1598,12752,317,wedge
1599,12752,264,Bacardi
1600,12752,161,1
1601,11064,132,1 1/2 oz
1602,11064,251,1 tblsp
1603,11064,34,1
1604,11064,66,1 1/2 oz
1605,11064,264,1 tsp
1606,11064,146,1
1607,15395,109,1/2 oz
1608,15395,158,1/4 oz
1609,15395,216,1/4 oz
1610,15395,311,1/4 oz
1611,15395,150,1/4 oz
1612,15395,97,1/4 oz
1613,15395,3,1/2 oz
1614,15395,11,1/4 oz
1615,12756,350,4 cl
1616,12756,66,1 dash
1617,12756,313,1
1618,15106,7,4 cl
1619,15106,303,3 cl
1620,15106,197,1 cl
1621,15106,174,1
1622,17225,156,2 shots
1623,17225,235,1/2 shot
1624,17225,205,1/2 shot
1625,17225,310,1/2 shot
1626,17225,48,1/2 Fresh
1627,11407,156,2 oz
1628,11407,312,1
1629,11407,131,1
1630,11407,267,1
1631,11407,182,1
1632,17208,24,1/2 oz
1633,17208,156,1 oz
1634,17208,329,1/2 oz
1635,17208,208,1/2 tsp
1636,17208,235,1 tsp
1637,17208,131,1
1638,12130,8,1 oz
1639,12130,97,1 oz
1640,12130,248,1 oz
1641,12654,310,10 cl cold
1642,12654,7,4 cl
1643,12654,245,2 tsp
1644,12654,34,01-Feb
1645,14195,327,1 1/2 oz
1646,14195,188,8-10 oz cold
1647,14195,317,1 slice
1648,14195,278,cubes
1649,14107,348,1 1/2 oz
1650,14107,207,3/4 oz
1651,14107,133,1/2 oz
1652,14107,313,3 oz
1653,14107,317,1 slice
1654,13499,350,1 oz
1655,13499,72,1 oz
1656,13499,263,1 oz
1657,13499,319,2 scoops
1658,13499,160,1
1659,12518,127,1 1/2 oz
1660,12518,289,1 oz Green Ginger
1661,12802,157,1/2 kg chopped
1662,12802,264,3/4 L
1663,12802,132,1/2 L
1664,14374,348,2/3 part
1665,14374,259,1/3 part
1666,14374,278,cubes
1667,14374,191,1
1668,12808,264,8 cups
1669,12808,220,6 cups
1670,12808,172,1 pint
1671,12808,36,1 oz pure
1672,12808,285,1 tblsp green
1673,17267,345,3 parts
1674,17267,295,1 part
1675,17267,271,1 part
1676,17267,235,1 part
1677,17267,237,2 parts
1678,17267,338,2 parts
1679,17267,234,1 part
1680,12768,19,1/2 cup black
1681,12768,310,1/2 cup
1682,12768,264,1-2 tsp
1683,12732,310,6 cups
1684,12732,170,3 oz Mexican
1685,12732,6,1 tsp powdered
1686,12732,108,3
1687,12322,126,1/2 oz
1688,12322,288,1 oz
1689,12322,251,1/2 oz
1690,12322,208,1 oz
1691,12322,202,1 oz
1692,12322,61,1
1693,14622,350,1/3 part
1694,14622,190,1/3 part
1695,14622,7,1/3 part
1696,14622,278,lots
1697,14622,83,1 dash
1698,14602,288,full glass
1699,14602,5,About 8 drops
1700,13731,97,1 1/2 oz
1701,13731,347,3 oz
1702,12450,156,1 1/2 oz
1703,12450,283,1/2 oz
1704,12450,8,1/2 oz
1705,11417,156,2 oz
1706,11417,208,1 oz
1707,11417,264,1/2 tsp superfine
1708,11417,300,1
1709,11417,174,1
1710,11558,198,1 1/2 oz
1711,11558,317,Juice of 1/2
1712,11558,131,1 tsp
1713,11558,262,1 tblsp
1714,11558,213,1
1715,11558,312,1
1716,15184,350,2 cl
1717,15184,53,2 cl
1718,15184,235,1
1719,15184,7,1
1720,16271,119,1 1/2 oz
1721,16271,227,1 oz
1722,16271,132,1/2 oz
1723,16176,278,8 cubes
1724,16176,350,3 oz
1725,16176,257,1.5 oz
1726,16176,111,1.5 oz
1727,16176,182,1
1728,15026,231,4 cl
1729,15026,74,2 cl
1730,15026,147,7 cl
1731,15026,197,8 cl
1732,15026,278,cubes
1733,12618,208,5 cl
1734,12618,7,15 cl
1735,12618,245,2-3 cl
1736,12618,313,1
1737,17224,350,1 shot
1738,17224,314,2 shots
1739,17224,290,Top up with
1740,12630,245,2 tsp
1741,12630,208,1
1742,12630,173,1
1743,13621,288,2 measures
1744,13621,7,1
1745,13621,235,1
1746,12820,127,1 cup
1747,12820,260,1 1/4 cup
1748,12820,270,1 can sweetened
1749,12820,88,3 drops
1750,12820,35,1 tblsp
1751,14608,281,1 oz
1752,14608,173,1
1753,15092,7,1 part
1754,15092,197,1 part
1755,15092,11,1 part
1756,15092,278,1
1757,11872,119,1/2 oz white
1758,11872,97,1/2 oz
1759,11872,251,1/2 oz
1760,11872,350,1/2 oz
1761,11872,248,1 oz
1762,15086,169,1 bottle
1763,15086,40,1 oz
1764,17197,156,1 1/2 oz
1765,17197,264,2 tsp superfine
1766,17197,208,1 1/2 oz
1767,17197,290,4 oz Chilled
1768,17197,300,1
1769,17197,174,1
1770,11983,132,3/4 oz
1771,11983,8,3/4 oz
1772,11983,317,Juice of 1/4
1773,11983,46,2 tsp
1774,13807,98,1
1775,13807,72,1
1776,13807,263,1
1777,13056,100,2 oz white or
1778,13056,192,5 oz
1779,13056,278,cubes
1780,11053,290,Chilled
1781,11053,337,1 tsp
1782,12562,235,1 cl
1783,12562,7,1 cl
1784,12562,11,2 cl
1785,12562,178,4 cl
1786,12704,222,Juice of 1
1787,12704,264,1 tblsp
1788,12704,313,(seltzer water)
1789,12704,200,1
1790,16986,203,2 oz
1791,16986,251,1/2 oz
1792,16986,222,2 wedges
1793,16986,347,2 oz
1794,14642,72,1 oz
1795,14642,161,1 oz Bacardi
1796,14642,235,1 dash
1797,11054,156,2 oz
1798,11054,158,1/2 oz
1799,11054,208,2 tsp
1800,11054,182,1 twist of
1801,14842,263,1 oz
1802,14842,75,3/4 oz
1803,14842,178,3/4 oz double
1804,15330,350,1 oz
1805,15330,251,1 oz
1806,15330,7,1 oz
1807,12916,108,1/2 cup
1808,12916,264,3 tblsp
1809,12916,270,13 oz skimmed
1810,12916,310,3/4 cup skimmed
1811,12916,279,1 tsp
1812,12916,345,1 tsp
1813,12916,308,1
1814,16354,350,1/3 oz
1815,16354,311,1/3 oz
1816,16354,207,1/3 oz
1817,11227,290,Chilled
1818,11227,264,1 piece
1819,11227,86,2 dashes
1820,11227,182,1 twist of
1821,11227,304,1 dash
1822,11408,156,2 oz
1823,11408,208,1 oz
1824,11408,264,1/2 tsp superfine
1825,11408,235,1/2 tsp
1826,11408,174,1
1827,11408,300,1
1828,12738,170,12 oz fine
1829,12738,280,1 tsp
1830,12738,279,1/2 tsp
1831,12738,260,1 cup
1832,12738,252,mini
1833,12101,127,1 1/2 oz
1834,12101,305,1/2 oz
1835,12101,182,1 twist of
1836,13539,350,1 1/2 oz
1837,13539,316,6 oz
1838,13539,208,to taste
1839,13254,350,2 oz
1840,13254,66,2 oz
1841,13254,173,8 oz
1842,11004,28,1 1/2 oz
1843,11004,257,2 oz
1844,11004,7,3 oz
1845,17204,350,1/2 oz
1846,17204,288,1/2 oz
1847,17204,132,1/2 oz
1848,17204,156,1/2 oz
1849,17204,39,1 dash
1850,17204,182,Twist of
1851,12770,19,1/4 cup instant
1852,12770,264,1/4 cup
1853,12770,220,1/4 cup hot
1854,12770,310,4 cups cold
1855,12794,344,3 tblsp chopped
1856,12794,266,1 tblsp chopped
1857,12794,130,1 cracked
1858,12794,6,1 one-inch
1859,12794,116,3-6 crushed
1860,12794,67,1/8 tsp powdered
1861,12794,209,1 tblsp fresh chopped
1862,12794,350,1.5 cup
1863,12794,264,1/2 cup granulated
1864,12794,220,1/4 cup
1865,12794,285,1 drop yellow
1866,12794,285,1 drop green
1867,13192,345,1/2 oz
1868,13192,350,1/2 oz
1869,13192,156,1/2 oz
1870,13192,227,1/2 oz
1871,13192,347,2 oz
1872,13192,192,1 splash
1873,12792,264,1 cup
1874,12792,220,3/4 cup
1875,12792,129,2
1876,12792,96,1 tblsp
1877,12792,172,1/2 cup pure
1878,12792,220,1/2 cup
1879,12792,8,1 cup
1880,12792,285,3 drops yellow
1881,12792,285,6 drops red
1882,12792,285,2 drops blue
1883,12792,121,1/2 tsp
1884,12710,58,1 cup
1885,12710,238,2
1886,13675,265,1/4 glass
1887,13675,194,3/4 glass
1888,12089,132,1 1/2 oz
1889,12089,161,1 tsp
1890,12089,131,1/2 tsp
1891,12089,86,1 dash
1892,12089,220,1 tsp
1893,12089,200,Twist of
1894,12091,132,1 1/2 oz
1895,12091,7,5 oz
1896,12782,19,6 tblsp ground
1897,12782,67,1/4 tsp
1898,12782,84,4-5 whole green
1899,12782,264,1
1900,12782,87,1
1901,12782,278,1
1902,17203,292,1 part
1903,17203,290,5 parts
1904,12734,170,125 gr
1905,12734,310,3/4 L
1906,12734,220,1
1907,14510,263,2 oz
1908,14510,319,2 scoops
1909,14510,178,1
1910,11024,97,1/2 oz
1911,11024,119,1/2 oz white
1912,11024,248,2 oz
1913,13971,242,1 1/2 oz
1914,13971,19,8 oz
1915,13971,264,1 tsp
1916,13971,186,1 tblsp
1917,13026,100,1 1/2 L
1918,13026,264,1 cup
1919,13026,317,1 large
1920,13026,300,1 large
1921,13026,238,1 large
1922,13026,8,3-4 oz plain
1923,13026,313,1
1924,17181,350,70ml/2fl oz
1925,17181,24,1 tbsp
1926,17181,253,2 tbsp
1927,17181,317,1 wedge
1928,17181,306,1
1929,11008,126,2 oz
1930,11008,7,2 oz
1931,11008,3,2 oz
1932,11008,43,1
1933,12702,276,2 pieces
1934,12702,220,1 gal
1935,12702,317,1 lb
1936,12702,264,1 cup
1937,12702,95,ground
1938,14688,42,1/2 oz
1939,14688,265,1/2 oz
1940,14688,350,1/2 oz
1941,15288,161,1/2 shot Bacardi
1942,15288,20,1/2 shot
1943,12516,198,2 oz
1944,12516,317,Juice of 1/2
1945,12516,131,1/2 tsp
1946,12516,146,1
1947,12516,317,1/2 slice
1948,17242,156,50 ml
1949,17242,292,20 ml
1950,17242,52,15 ml
1951,17242,206,75 ml
1952,17242,222,1
1953,17242,276,1 long strip
1954,11145,86,3 dashes
1955,11145,220,1 tsp
1956,11145,264,1
1957,11145,30,3 oz
1958,11145,300,1
1959,11145,174,1
1960,12988,220,3 cups
1961,12988,264,1 cup
1962,12988,91,12
1963,12988,6,2
1964,12988,182,1
1965,12988,100,750 ml
1966,12988,8,1/4 cup
1967,11604,30,3 oz
1968,11604,184,1/2 oz
1969,11604,182,1 twist of
1970,14356,263,3/4 oz
1971,14356,296,3/4 oz
1972,14356,72,3/4 oz
1973,14356,301,1/2 oz
1974,14356,310,to fill
1975,13196,350,5 cl
1976,13196,222,01-Feb
1977,13196,117,4 dashes
1978,13196,120,1 dl Schweppes
1979,13196,278,4
1980,11239,132,1 1/4 oz
1981,11239,302,1 1/2 tsp
1982,11239,248,1 tblsp
1983,11118,288,1 1/2 oz
1984,11118,227,1 oz
1985,11118,66,1 oz
1986,11118,61,Coarse
1987,17206,210,4 fresh
1988,17206,30,2 1/2 oz
1989,17206,131,1 tsp
1990,17206,220,2 tsp
1991,17196,348,1 1/4 oz
1992,17196,66,1/4 oz
1993,17196,218,1/4 oz
1994,17196,3,1/4 cup
1995,12864,343,4 qt
1996,12864,113,1 cup
1997,12864,188,6 oz frozen
1998,12864,7,6 oz frozen
1999,12864,91,6 whole
2000,12864,130,6 whole
2001,12864,308,1 tsp ground
2002,12864,6,3 sticks
2003,17194,156,4cl
2004,17194,149,3cl
2005,17194,180,2cl
2006,12196,304,2 oz
2007,12196,218,1/2 oz
2008,12196,208,1 oz
2009,14360,109,3/4 oz
2010,14360,311,3/4 oz
2011,14360,3,1 oz
2012,14360,133,1 splash
2013,17114,156,2 oz
2014,17114,3,5 oz
2015,17114,235,2 splashes
2016,12670,197,1 can frozen
2017,12670,202,1 cup
2018,12670,264,2 tblsp
2019,12670,317,1
2020,12670,238,1
2021,12670,313,1 L
2022,12670,278,1
2023,13938,143,1 oz
2024,13938,156,1 oz
2025,13938,120,4 oz
2026,11026,97,1 1/2 oz
2027,11026,222,1
2028,15224,150,2 parts
2029,15224,229,2 parts
2030,15224,3,1 part
2031,12708,137,Juice of 1/2
2032,12708,34,1
2033,16403,33,01-Feb
2034,16403,269,01-Feb
2035,15549,156,1 oz
2036,15549,154,1 oz
2037,15549,283,1 oz
2038,17222,156,1 3/4 shot
2039,17222,158,1 Shot
2040,17222,180,1/4 Shot
2041,17222,235,1/8 Shot
2042,11084,8,3/4 oz
2043,11084,156,3/4 oz
2044,11084,24,3/4 oz
2045,11084,312,1
2046,11084,182,1
2047,11205,198,2 oz
2048,11205,317,Juice of 1
2049,11205,222,Juice of 1
2050,11205,131,1 tblsp
2051,11205,235,1/4 tsp
2052,11205,312,1
2053,17060,254,1/2 oz
2054,17060,42,1/2 oz
2055,17060,298,1/2 oz
2056,17060,161,1/2 oz Bacardi
2057,13202,97,1 oz
2058,13202,350,1 oz
2059,13202,161,1 oz Bacardi
2060,13202,152,1 oz
2061,13202,80,1 oz
2062,11369,127,1 oz
2063,11369,283,1 oz
2064,11369,86,1 dash
2065,11369,245,1/4 tsp
2066,15182,350,2 cl
2067,15182,53,1 cl
2068,15182,7,1
2069,11034,329,1/2 oz
2070,11034,155,1/2 oz
2071,11034,156,1 oz
2072,13198,72,1 part
2073,13198,311,1 part
2074,13198,263,1 part
2075,11022,24,1 oz
2076,11022,156,1 oz
2077,11022,230,1/2 tsp
2078,17189,156,2 oz
2079,17189,184,1 tsp
2080,17189,7,1/2 oz
2081,17189,235,1 tsp
2082,13214,330,2 oz
2083,13214,208,1 oz
2084,13214,264,1-2 tblsp
2085,13214,278,1
2086,17184,8,1 oz
2087,17184,132,1 oz
2088,17184,251,1 oz
2089,17184,208,1 oz
2090,17020,42,1 oz
2091,17020,254,1 oz
2092,15825,345,1/6 glass
2093,15825,19,1/6 glass strong black
2094,15825,220,1/2 glass cold
2095,15825,186,1
2096,16447,319,2 scoops
2097,16447,39,1 can
2098,16447,30,2 oz
2099,17122,342,1 part
2100,17122,214,1 part
